Lost_Taxon,Closest_Spore_Former,Distance
genome_1358,genome_1421,0.634553
genome_1511,genome_1505,0.457569
genome_2756,genome_241244,0.45629499999999995
genome_33033,genome_2507161,0.5461299999999999
genome_54005,genome_2507161,0.597362
genome_158879,genome_1421,0.47150299999999995
genome_160490,genome_241244,0.6395710000000001
genome_169963,genome_1421,0.420546
genome_170187,genome_1421,0.607201
genome_176280,genome_1421,0.5103179999999999
genome_178899,genome_760568,0.596758
genome_208435,genome_241244,0.6309130000000001
genome_226185,genome_241244,0.5020490000000001
genome_272621,genome_1421,0.7403560000000001
genome_272626,genome_1421,0.41896
genome_273068,genome_580331,0.278126
genome_279808,genome_1421,0.498763
genome_334413,genome_2507161,0.585118
genome_335541,genome_51515,0.80829
genome_351627,genome_698948,0.679743
genome_407035,genome_241244,0.6101080000000001
genome_411483,genome_760568,0.839556
genome_429009,genome_477974,0.590313
genome_457570,genome_272562,0.874469
genome_458233,genome_1421,0.420479
genome_479436,genome_1930071,0.6218049999999999
genome_515619,genome_1505,0.8475950000000001
genome_525919,genome_2507161,0.7155309999999999
genome_537007,genome_1505,0.733026
genome_546269,genome_1505,0.527898
genome_555079,genome_760568,0.768411
genome_557436,genome_1421,0.6617710000000001
genome_568703,genome_241244,0.7441309999999999
genome_568816,genome_1930071,0.605967
genome_633807,genome_241244,0.529315
genome_644966,genome_1555112,0.513057
genome_663278,genome_760568,0.824993
genome_697329,genome_370438,0.940762
genome_701521,genome_241244,0.6438959999999999
genome_866775,genome_241244,0.6204580000000001
genome_927704,genome_1930071,0.56686
genome_931626,genome_272562,0.742211
genome_945021,genome_241244,0.585778
genome_1051074,genome_241244,0.622998
genome_1185653,genome_2320858,0.260148
genome_1198676,genome_1421,0.662347
genome_1230341,genome_866895,0.309038
genome_1286171,genome_1505,0.42153700000000005
genome_1323375,genome_246194,0.8112270000000001
genome_1399115,genome_1221500,0.410598
genome_1472767,genome_1482,0.28925
genome_1702287,genome_1930071,0.725726
genome_1849491,genome_241244,0.5084759999999999
genome_1911586,genome_1421,0.573423
genome_2036206,genome_241244,0.6182930000000001
genome_562,genome_37482,1.063593
